picture_directory,item_name,description
Bunda_1.png, Our Lady in Prayer,"Lilin premium non-perfumed.\nTersedia warna Translucent, Putih, Cream."
IMG_20260504_110120.png, Rose,"Lilin premium bunga mawar besar.<br>Tersedia warna: pink, violet, green, blue, yellow."
IMG_20260504_114232.png, Jasmine,"Lilin premium bunga melati besar.<br>Tersedia warna: pink, violet, green, blue, yellow."
IMG_20260504_114730.png, Flowers #1,"Rangkaian dalam pot keramik isi 5 bunga."
IMG_20260504_115109.png, Flowers #2,"Rangkaian dalam pot keramik isi 5 bunga."
IMG_20260504_115353.png, Flowers #3,"Rangkaian dalam pot keramik isi 5 bunga."
IMG_20260504_115527.png, Flowers #4,"Rangkaian dalam pot keramik isi 8 bunga."
IMG_20260504_121232.png, Flowers #5,"Rangkaian dalam pot keramik isi 5 bunga."
IMG_20260504_121233.png, Flowers #6,"Rangkaian dalam pot keramik isi 5 bunga."

